Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.354,0.178816361866,67.607488047,61.8105815378,7.47248211582,0.067056619708
0.355,0.179667779109,67.5749675974,61.9118924366,7.51675031966,0.0648508335771
0.356,0.180519718614,67.5428396518,62.0109093048,7.56087508444,0.0627167525241
0.357,0.181372205698,67.5111767392,62.1142990108,7.60567915639,0.0606520782531
0.358,0.182225806829,67.4814649182,62.215503502,7.65055609564,0.058654584878
0.359,0.183081161589,67.4553784256,62.3146390036,7.6957389194,0.056722116689
0.36,0.183936753439,67.4289605122,62.4129337709,7.74086652081,0.0548525859878
0.361,0.184791446582,67.3992545816,62.513926042,7.7859880569,0.0530439709855
0.362,0.185647119803,67.3711714037,62.61281444,7.8311499553,0.051294313766
0.363,0.186504768125,67.3473091727,62.7097535866,7.87671772268,0.0496017183087
0.364,0.187365121137,67.3295708378,62.807165825,7.92325787128,0.0479643485726
0.365,0.188224695169,67.3088802618,62.9062323304,7.96971227827,0.0463804266362
0.366,0.189082913201,67.2837436584,63.0030442634,8.01537724251,0.0448482308956
0.367,0.18994394599,67.2650304255,63.0980985756,8.06178239106,0.0433660943156
0.368,0.190807632704,67.2523220412,63.1941286732,8.10923259741,0.0419324027341
0.369,0.191671966301,67.2403969454,63.2914218251,8.15706116497,0.0405455932183
0.37,0.192535446296,67.2253561916,63.3866313225,8.20429900537,0.0392041524704
0.371,0.193400201147,67.2127444169,63.4800119462,8.2517402753,0.0379066152813
0.372,0.19426499088,67.1993407069,63.5740808572,8.29926523174,0.0366515630323
0.373,0.195130325132,67.1864762826,63.669357434,8.34712850162,0.0354376222411
0.374,0.195999507398,67.1827450261,63.7631412202,8.39619330099,0.0342634631532
0.375,0.196868669978,67.1780941505,63.855058132,8.44499876824,0.0331277983757
0.376,0.197737481484,67.1716677531,63.9472038414,8.49369552754,0.0320293815524
0.377,0.198604320693,67.1592579264,64.0406745696,8.54182125359,0.0309670060804
0.378,0.199470604103,67.1445540055,64.132245698,8.5894655885,0.029939503865
0.379,0.200340030272,67.1371712485,64.2223365883,8.6380731247,0.0289457441127
0.38,0.201210487401,67.1316255979,64.3122237096,8.68702963775,0.0279846321621
0.381,0.202078500525,67.1188952976,64.40394124,8.73529056444,0.0270551083494
0.382,0.20294721491,67.1071568774,64.4939593832,8.78356814544,0.0261561469098
0.383,0.203817965948,67.0998819116,64.5824459061,8.83239956826,0.0252867549116
0.384,0.204689386747,67.0935246993,64.6698695404,8.88132816305,0.024445971224
0.385,0.205562856169,67.0916693081,64.7603515225,8.93145960729,0.0236328655163
0.386,0.206436642513,67.0898241847,64.8491915563,8.98148206856,0.0228465372873
0.387,0.207311184224,67.0891321442,64.9364537202,9.03157460703,0.0220861149258
0.388,0.208185226471,67.0863402706,65.0220251484,9.08122632953,0.0213507547993
0.389,0.209057265467,67.0775502663,65.1100209506,9.13041029344,0.0206396403706
0.39,0.209926328816,67.0602459438,65.1968113964,9.1782188464,0.0199519813427
0.391,0.210793497272,67.0372418225,65.2817686745,9.22497629599,0.019287012829
0.392,0.211660282017,67.0124664846,65.3650430517,9.27129767008,0.01864399455
0.393,0.212529731508,66.9938277922,65.450169122,9.31891304263,0.0180222100546
0.394,0.21340252287,66.983079591,65.5357261736,9.36791143137,0.0174209659652
0.395,0.214276127013,66.9736681109,65.6197994125,9.41700437443,0.0168395912472
0.396,0.215149094448,66.961841435,65.7022631495,9.46558020955,0.0162774364999
0.397,0.216022149802,66.9494820176,65.7848693623,9.51418346087,0.0157338732706
0.398,0.216897101518,66.9412779342,65.8691694634,9.56378787428,0.0152082933889
0.399,0.217773986781,66.9373278945,65.9521518705,9.61398285992,0.0147001083233
0.4,0.218650709469,66.9322066958,66.0336436466,9.66387482886,0.0142087485558
0.401,0.219527459375,66.9264100243,66.1136744581,9.71354320152,0.0137336629781
0.402,0.220405433412,66.9230409674,66.1967461112,9.76415366933,0.0132743183048
0.403,0.221282420582,66.916378595,66.2784339437,9.81412491172,0.0128301985063
0.404,0.222159706696,66.909756236,66.3587201926,9.86399270916,0.0124008042588
0.405,0.223037291781,66.9031777354,66.4376194623,9.9137575128,0.0119856524114
0.406,0.223915704475,66.8980150236,66.5175057597,9.96400052584,0.0115842754702
0.407,0.22479513039,66.894751828,66.5981646443,10.0147752364,0.0111962210983
0.408,0.225674240798,66.8899528921,66.6774237532,10.065183376,0.0108210516318
0.409,0.226553063236,66.8836934649,66.7552934933,10.1152331188,0.0104583436108
0.41,0.227430582385,66.8733507327,66.8318233441,10.1644821557,0.0101076873247
0.411,0.228308828845,66.8641827662,66.9111999355,10.214451847,0.00976868637274
0.412,0.229187398183,66.8551465479,66.9892659323,10.2643345398,0.00944095723742
0.413,0.230065612275,66.8444918559,67.0659737257,10.3138205417,0.00912412887192
0.414,0.230944878808,66.8358626645,67.1414617748,10.3635533271,0.00881784230023
0.415,0.231823270947,66.8242801364,67.2176819922,10.4129755826,0.00852175023001
0.416,0.232702680225,66.8146383419,67.2947236317,10.4629469011,0.00823551667759
0.417,0.233585112953,66.8121253307,67.3707440098,10.5140924427,0.00795881660485
0.418,0.234466806731,66.8070188817,67.4454446059,10.564673587,0.00769133556752
0.419,0.235347585519,66.7988680091,67.5188117541,10.6146001903,0.00743276937462
0.42,0.236229119344,66.7919921896,67.5946559297,10.6652291233,0.00718282375863
0.421,0.237111773182,66.7873372527,67.669703843,10.7162175835,0.00694121405617
0.422,0.237994914059,66.783270589,67.743576877,10.7672174531,0.0067076648987
0.423,0.238876947323,66.775675758,67.8161474557,10.8174686836,0.00648190991309
0.424,0.239759861017,66.7696920968,67.8885777563,10.8680733822,0.0062636914316
0.425,0.240644287339,66.7669551755,67.9628254023,10.9196458406,0.00605276021118
0.426,0.241528590709,66.7632432471,68.0358913565,10.9709453603,0.00584887516154
0.427,0.242413734348,66.7610471858,68.1078647255,11.0224370407,0.00565180308199
0.428,0.243299336661,66.7593843723,68.178728368,11.073939455,0.00546131840651
0.429,0.244185144377,66.7576037136,68.250379719,11.1256412053,0.00527720295708
0.43,0.245071646795,66.7569718161,68.3227685178,11.1777695997,0.00509924570468
0.431,0.245958421822,66.7564015714,68.3940607398,11.2298254522,0.00492724253809
0.432,0.246845555034,66.7561169267,68.4642742138,11.2818516972,0.00476099603991
0.433,0.24773299549,66.7559892526,68.5334158911,11.3338241182,0.00460031526975
0.434,0.248620688426,66.7558800302,68.6039945478,11.3861314656,0.00444501555444
0.435,0.249508664286,66.7558707611,68.6746065077,11.4385579341,0.00429491828478
0.436,0.250396877026,66.7558453972,68.7441658167,11.490900247,0.00414985071889
0.437,0.251285332065,66.7558207687,68.8126827952,11.5431614176,0.00400964579182
0.438,0.252174036658,66.7558184239,68.8801678591,11.5953454561,0.00387414193121
0.439,0.253062981078,66.7558160343,68.9494716729,11.6479278434,0.0037431828789
0.44,0.253952165148,66.7558159154,69.0183975029,11.7005398406,0.00361661751825
0.441,0.254841586973,66.7558159151,69.0863136866,11.7530728874,0.00349429970692
0.442,0.25573124545,66.7558159148,69.1532295227,11.8055267334,0.00337608811509
0.443,0.256621139532,66.7558159148,69.2191541907,11.8579011524,0.00326184606887
0.444,0.257511268179,66.7558159148,69.2870496841,11.9107035386,0.00315144139862
0.445,0.25840163036,66.7558159148,69.3543886675,11.9635014289,0.00304474629232
0.446,0.259292225051,66.7558159148,69.4207582011,12.0162223381,0.0029416371535
0.447,0.260183051236,66.7558159148,69.4861670846,12.0688660494,0.00284199446377
0.448,0.261074107906,66.7558159148,69.5506240036,12.121432346,0.00274570264986
0.449,0.261965394061,66.7558159148,69.6169918733,12.174420171,0.00265264995481
0.45,0.262856908707,66.7558159148,69.6828363279,12.2274057559,0.00256272831341
0.451,0.263748650857,66.7558159148,69.747749395,12.2803163196,0.00247583323157
0.452,0.264640619533,66.7558159148,69.811739406,12.3331516546,0.00239186366965
0.453,0.265532813763,66.7558159148,69.874814586,12.3859115537,0.00231072192952
0.454,0.266425232582,66.7558159148,69.9395455064,12.439051553,0.00223231354522
0.455,0.267317875031,66.7558159148,70.0039811458,12.4922264358,0.00215654717726
0.456,0.26821074016,66.7558159148,70.0675214634,12.5453282236,0.00208333451023
0.457,0.269103827025,66.7558159148,70.1301743538,12.5983567177,0.00201259015375
0.458,0.269997134687,66.7558159148,70.1919476122,12.6513117199,0.00194423154666
0.459,0.270890662216,66.7558159148,70.2549416277,12.7045714645,0.00187817886425
0.46,0.271784408687,66.7558159148,70.318048063,12.7579370326,0.00181435492855
0.461,0.272678373182,66.7558159148,70.3802933755,12.8112313973,0.00175268512146
0.462,0.27357255479,66.7558159148,70.4416850519,12.8644543685,0.00169309730076
0.463,0.274466952605,66.7558159148,70.5022304857,12.9176057563,0.00163552171883
0.464,0.275361565727,66.7558159148,70.5633965088,12.9709536615,0.00157989094393
0.465,0.276256393264,66.7558159148,70.6252477115,13.0245110919,0.00152613978415
0.466,0.277151434329,66.7558159148,70.6862702437,13.0779991756,0.00147420521376
0.467,0.278046688041,66.7558159148,70.7464712103,13.1314177303,0.00142402630194
0.468,0.278942153524,66.7558159148,70.8058576294,13.1847665743,0.00137554414389
